COUNTY,NIGHT_WORK,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
新北市,4404882,3828955,3708033,3760027,4389998,4233496,4087167,4193773,10284511.41,8918287.6,9006483.28,9804692.81,8766501.62,10318260.43,10212998.84,9418215.79,109Y11M
臺北市,2789958,3424948,3563844,3508241,2747668,2886879,3067448,2953925,7109127.81,8432508.36,8432755.71,8118225.21,5280778.32,7698035.05,7920404.09,6840720.14,109Y11M
桃園市,2526697,2538817,2534858,2536854,2459045,2457750,2469675,2466701,5378615.6,5081505.82,5189705.13,5168944.95,4494943.06,5532910.8,5620730.37,5024045.69,109Y11M
臺中市,3083970,3097381,3092610,3097786,3052863,3034869,3022051,3033950,6764050.31,6647991.06,6781947.04,6870578.9,5799132.24,7181235.71,7356663.43,6679511.57,109Y11M
臺南市,1835928,1849314,1846605,1846887,1839022,1843679,1832836,1837561,3963064.59,3910969.02,4008063.88,3956241.29,3464568.0,4344466.5,4449459.65,3981201.53,109Y11M
高雄市,2576693,2574896,2572996,2573879,2575650,2561834,2564244,2563361,5751041.86,5679883.06,5873371.46,5775527.53,4878469.83,5954713.26,6098213.63,5570972.78,109Y11M
宜蘭縣,441203,429801,431568,429706,468078,470963,469260,465119,820612.54,884594.62,918124.02,792285.82,846875.65,1117919.27,1134634.42,893794.67,109Y11M
新竹縣,656007,672505,667973,669470,658522,667690,659887,664304,1212645.85,1173657.34,1191427.45,1107531.23,1124406.72,1335534.07,1371502.21,1181676.04,109Y11M
苗栗縣,505463,487130,485434,485570,519930,528448,520549,522946,934112.83,912872.42,951256.49,872506.02,968899.18,1194737.98,1264425.33,1056933.96,109Y11M
彰化縣,1068303,1049600,1050004,1049606,1091186,1096873,1092149,1097891,2203943.54,2110569.6,2166761.19,2110485.15,2018196.98,2448868.57,2522773.25,2181056.12,109Y11M
南投縣,426734,432678,430430,430064,454395,477733,476173,471206,776405.17,840887.51,855041.58,717360.5,828731.05,1145664.25,1173022.88,877683.77,109Y11M
雲林縣,565293,570400,570334,570360,570283,573148,570827,572544,1105479.99,1106259.66,1150228.23,1042132.5,1037810.92,1271014.2,1322802.2,1101577.55,109Y11M
嘉義縣,440515,435301,434018,434444,455221,464554,463403,461220,734515.31,753583.43,777476.7,655719.38,742929.19,950857.48,988927.35,747599.91,109Y11M
屏東縣,689391,666686,669243,667004,710484,715567,716100,713366,1361450.11,1388371.68,1444718.81,1337537.22,1280532.7,1648915.92,1699894.79,1433396.47,109Y11M
臺東縣,192086,190194,190066,190005,197914,197291,195779,195333,289533.92,332855.19,337462.37,273759.51,300570.48,392490.39,393746.24,300458.73,109Y11M
花蓮縣,320650,318241,318562,317411,332256,331573,331336,328566,536693.87,600290.03,611537.14,516241.56,539027.08,690625.25,692356.39,553652.8,109Y11M
澎湖縣,70549,68245,69080,69149,70009,68804,69423,69043,110302.5,118788.19,120856.52,104167.11,102772.41,121002.38,119482.67,99997.27,109Y11M
基隆市,355821,297902,291392,293735,360605,348503,340866,346262,637563.49,568571.44,578417.38,586174.69,570316.67,696587.93,703124.49,607129.88,109Y11M
新竹市,549601,570467,575181,572417,540378,543734,557890,548152,997287.73,1013791.85,1017258.54,985947.27,834137.4,1068331.03,1096901.32,955917.76,109Y11M
嘉義市,257530,256316,257297,257060,262138,255554,251435,253886,477599.29,513240.31,527902.47,513166.9,442648.94,568829.58,578460.05,534880.48,109Y11M
金門縣,98129,96394,96541,96478,99452,97261,97359,96983,120510.5,125821.51,126566.79,102614.41,120275.83,131809.99,132018.33,104540.19,109Y11M
連江縣,12511,11742,11846,11762,12821,11708,12057,11823,12750.77,13152.3,13112.66,10067.09,12984.01,13470.99,13558.62,10389.78,109Y11M
