,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
COUNTY,New Taipei City,Taipei City,Taoyuan City,Taichung City,Tainan City,Kaohsiung City,Yilan County,Hsinchu County,Miaoli County,Changhua County,Nantou County,Yunlin County,Chiayi County,Pingtung County,Taitung County,Hualien County,Penhu County,Keelung City,Hsinchu City,Chiayi City,Kinmen County,Lienjian County
NIGHT_WORK,4404882,2789958,2526697,3083970,1835928,2576693,441203,656007,505463,1068303,426734,565293,440515,689391,192086,320650,70549,355821,549601,257530,98129,12511
DAY_WORK(7:00~13:00),3828955,3424948,2538817,3097381,1849314,2574896,429801,672505,487130,1049600,432678,570400,435301,666686,190194,318241,68245,297902,570467,256316,96394,11742
DAY_WORK(13:00~19:00),3708033,3563844,2534858,3092610,1846605,2572996,431568,667973,485434,1050004,430430,570334,434018,669243,190066,318562,69080,291392,575181,257297,96541,11846
DAY_WORK,3760027,3508241,2536854,3097786,1846887,2573879,429706,669470,485570,1049606,430064,570360,434444,667004,190005,317411,69149,293735,572417,257060,96478,11762
NIGHT_WEEKEND,4389998,2747668,2459045,3052863,1839022,2575650,468078,658522,519930,1091186,454395,570283,455221,710484,197914,332256,70009,360605,540378,262138,99452,12821
DAY_WEEKEND(7:00~13:00),4233496,2886879,2457750,3034869,1843679,2561834,470963,667690,528448,1096873,477733,573148,464554,715567,197291,331573,68804,348503,543734,255554,97261,11708
DAY_WEEKEND(13:00~19:00),4087167,3067448,2469675,3022051,1832836,2564244,469260,659887,520549,1092149,476173,570827,463403,716100,195779,331336,69423,340866,557890,251435,97359,12057
DAY_WEEKEND,4193773,2953925,2466701,3033950,1837561,2563361,465119,664304,522946,1097891,471206,572544,461220,713366,195333,328566,69043,346262,548152,253886,96983,11823
MORNING_WORK,10284511.41,7109127.81,5378615.6,6764050.31,3963064.59,5751041.86,820612.54,1212645.85,934112.83,2203943.54,776405.17,1105479.99,734515.31,1361450.11,289533.92,536693.87,110302.5,637563.49,997287.73,477599.29,120510.5,12750.77
MIDDAY_WORK,8918287.6,8432508.36,5081505.82,6647991.06,3910969.02,5679883.06,884594.62,1173657.34,912872.42,2110569.6,840887.51,1106259.66,753583.43,1388371.68,332855.19,600290.03,118788.19,568571.44,1013791.85,513240.31,125821.51,13152.3
AFTERNOON_WORK,9006483.28,8432755.71,5189705.13,6781947.04,4008063.88,5873371.46,918124.02,1191427.45,951256.49,2166761.19,855041.58,1150228.23,777476.7,1444718.81,337462.37,611537.14,120856.52,578417.38,1017258.54,527902.47,126566.79,13112.66
EVENING_WORK,9804692.81,8118225.21,5168944.95,6870578.9,3956241.29,5775527.53,792285.82,1107531.23,872506.02,2110485.15,717360.5,1042132.5,655719.38,1337537.22,273759.51,516241.56,104167.11,586174.69,985947.27,513166.9,102614.41,10067.09
MORNING_WEEKEND,8766501.62,5280778.32,4494943.06,5799132.24,3464568.0,4878469.83,846875.65,1124406.72,968899.18,2018196.98,828731.05,1037810.92,742929.19,1280532.7,300570.48,539027.08,102772.41,570316.67,834137.4,442648.94,120275.83,12984.01
MIDDAY_WEEKEND,10318260.43,7698035.05,5532910.8,7181235.71,4344466.5,5954713.26,1117919.27,1335534.07,1194737.98,2448868.57,1145664.25,1271014.2,950857.48,1648915.92,392490.39,690625.25,121002.38,696587.93,1068331.03,568829.58,131809.99,13470.99
AFTERNOON_WEEKEND,10212998.84,7920404.09,5620730.37,7356663.43,4449459.65,6098213.63,1134634.42,1371502.21,1264425.33,2522773.25,1173022.88,1322802.2,988927.35,1699894.79,393746.24,692356.39,119482.67,703124.49,1096901.32,578460.05,132018.33,13558.62
EVENING_WEEKEND,9418215.79,6840720.14,5024045.69,6679511.57,3981201.53,5570972.78,893794.67,1181676.04,1056933.96,2181056.12,877683.77,1101577.55,747599.91,1433396.47,300458.73,553652.8,99997.27,607129.88,955917.76,534880.48,104540.19,10389.78
INFO_TIME,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M,109Y11M
