??　　　　,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市
97年,"3,474",261,115,226,371,371,398,114,104,107,246,133,211,144,255,75,95,7,25,48,31
98年,"3,232",254,133,198,318,340,402,101,88,97,235,98,180,148,226,69,99,11,36,47,35
99年,"3,297",255,152,227,373,319,388,93,98,112,233,97,190,123,255,77,81,7,29,33,36
100年,"3,343",264,140,195,382,346,373,104,110,120,221,108,203,122,248,78,77,14,34,57,23
101年,"3,219",252,130,195,370,288,417,98,111,104,239,111,201,127,229,63,70,6,25,46,28
102年,"3,072",223,140,191,308,311,375,79,82,93,247,101,192,117,246,77,82,7,27,48,24
103年,"3,075",219,138,221,302,290,387,86,92,94,257,108,165,116,217,64,96,11,35,55,19
104年,"2,942",212,137,203,275,289,364,83,89,79,206,101,189,118,229,63,70,13,31,41,21
105年,"2,847",266,157,203,259,269,329,68,91,98,201,98,167,109,209,65,72,16,24,31,15
106年,"2,697",256,106,213,217,246,289,58,86,85,193,89,165,95,203,55,82,15,30,39,18
107年,"2,780",248,137,244,245,289,280,82,81,79,196,83,172,122,199,51,56,10,34,48,17
108年,"2,865",225,131,249,270,294,351,83,81,86,221,88,162,119,175,62,49,9,25,52,23
109年,"2,972",232,102,264,325,317,347,78,91,97,205,82,165,125,216,61,74,11,25,48,27
110年,"2,962",264,130,264,280,293,330,100,93,120,201,81,152,124,206,57,61,12,32,44,21
